City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Muna,MX,20.4833,-89.7167,85.87,44,26,7.11,scattered clouds
156,Salekhard,RU,66.53,66.6019,9.41,95,100,7.96,light snow
157,Provideniya,RU,64.3833,-173.3,-12.68,91,53,5.73,broken clouds
158,Barauna,BR,-5.08,-37.6167,93.0,36,99,5.7,overcast clouds
159,Newcastle,AU,-32.9272,151.7765,70.72,87,100,0.0,overcast clouds
160,Linqiong,CN,30.4159,103.4609,45.34,86,97,2.89,overcast clouds
161,Necochea,AR,-38.5473,-58.7368,88.03,59,38,12.57,scattered clouds
162,Hofn,IS,64.2539,-15.2082,40.37,71,57,28.48,broken clouds
163,Usinsk,RU,65.9939,57.5281,22.39,94,100,20.13,light snow
164,Erenhot,CN,43.6475,111.9767,4.51,92,14,5.19,few clouds
165,Srednekolymsk,RU,67.45,153.6833,-29.07,99,99,6.6,overcast clouds
166,Kasongo-Lunda,CD,-6.4667,16.8167,74.14,91,90,3.15,moderate rain
167,Atambua,ID,-9.1061,124.8925,74.75,91,100,4.94,overcast clouds
168,Nemuro,JP,43.3236,145.575,22.14,78,21,8.21,few clouds
169,Kedrovyy,RU,56.1667,91.8167,1.87,97,97,3.44,overcast clouds
170,Wanning,CN,18.8003,110.3967,71.15,92,58,5.59,broken clouds
171,Tabory,RU,58.5198,64.5495,13.42,94,89,4.88,overcast clouds
172,Broome,US,42.2506,-75.833,29.01,67,56,5.01,broken clouds
173,Ancud,CL,-41.8697,-73.8203,71.22,60,2,8.41,clear sky
174,Canmore,CA,51.0834,-115.3521,22.01,93,85,8.86,overcast clouds
175,Green River,US,41.5286,-109.4662,27.19,69,100,16.93,overcast clouds
176,Saldanha,ZA,-33.0117,17.9442,65.37,78,4,25.77,clear sky
177,Cabo San Lucas,MX,22.8909,-109.9124,72.05,39,2,1.99,clear sky
178,Permet,AL,40.2336,20.3517,38.26,53,0,5.55,clear sky
179,Padang,ID,-0.9492,100.3543,79.11,84,100,2.17,moderate rain
180,Pangnirtung,CA,66.1451,-65.7125,-13.49,98,100,0.78,overcast clouds
181,Drammen,NO,59.7439,10.2045,36.37,88,83,2.46,broken clouds
182,Nago,JP,26.5881,127.9761,64.47,73,59,8.1,broken clouds
183,Kirakira,SB,-10.4544,161.9205,79.65,86,100,6.98,overcast clouds
184,Tanggu,CN,39.0211,117.6469,28.36,48,0,9.55,clear sky
185,Akyab,MM,20.15,92.9,73.94,71,45,2.62,scattered clouds
186,Abha,SA,18.2164,42.5053,56.14,77,17,4.16,few clouds
187,Los Llanos De Aridane,ES,28.6585,-17.9182,63.12,56,40,11.01,scattered clouds
188,Sao Filipe,CV,14.8961,-24.4956,78.55,57,6,6.26,clear sky
189,Souillac,MU,-20.5167,57.5167,79.18,65,40,14.97,light rain
190,Victoria,HK,22.2855,114.1577,66.38,87,80,5.01,broken clouds
191,Aksarka,RU,66.5606,67.7975,10.15,94,100,15.35,light snow
192,Jinotega,NI,13.0917,-86.0018,79.32,37,0,5.37,clear sky
193,San Patricio,US,28.017,-97.5169,51.89,60,0,8.23,clear sky
194,Eyrarbakki,IS,63.863,-21.1481,38.44,86,99,46.37,light snow
195,Milkovo,RU,54.7167,158.6167,-6.95,99,100,1.9,overcast clouds
196,Itupiranga,BR,-5.1347,-49.3267,81.09,77,100,3.22,overcast clouds
197,Matay,EG,28.419,30.7792,51.75,40,1,5.41,clear sky
198,Nenjiang,CN,49.1833,125.2167,-5.46,100,95,1.52,overcast clouds
199,Otane,NZ,-39.8833,176.6333,65.01,92,77,3.13,light rain
200,Castro,BR,-24.7911,-50.0119,85.19,45,86,2.42,overcast clouds
201,Longyearbyen,SJ,78.2186,15.6401,19.24,68,75,17.27,broken clouds
202,Kristinehamn,SE,59.3098,14.1081,31.98,88,86,5.01,overcast clouds
203,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,2.26,88,22,7.56,few clouds
204,Do Gonbadan,IR,30.3586,50.7981,56.12,66,30,2.53,scattered clouds
205,Lorengau,PG,-2.0226,147.2712,81.28,81,18,6.58,few clouds
206,Baruun-Urt,MN,46.6806,113.2792,-6.81,93,14,5.3,few clouds
207,Betlitsa,RU,54.0095,33.9588,16.07,96,100,6.42,light snow
208,Visnes,NO,59.3556,5.2242,44.65,93,100,10.36,light intensity drizzle
209,Dargaville,NZ,-35.9333,173.8833,62.58,95,74,3.67,broken clouds
210,Dudinka,RU,69.4058,86.1778,-6.32,94,100,22.41,overcast clouds
211,Baghdad,IQ,33.3406,44.4009,55.31,37,0,7.58,clear sky
212,Minab,IR,27.1467,57.0801,58.5,34,0,6.58,clear sky
213,Sinnamary,GF,5.3833,-52.95,79.47,83,60,10.89,broken clouds
