City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
197,Hope,US,2022-01-24 00:48:09,33.6671,-93.5916,53.65,66,0,4.12
198,Zhezkazgan,KZ,2022-01-24 00:48:09,47.8043,67.7144,15.78,92,100,4.47
199,Lompoc,US,2022-01-24 00:48:10,34.6391,-120.4579,69.13,53,0,8.05
200,Souillac,MU,2022-01-24 00:48:10,-20.5167,57.5167,79.18,89,20,3.44
201,Severobaykalsk,RU,2022-01-24 00:48:10,55.65,109.3167,-5.04,88,6,5.1
202,Caxito,AO,2022-01-24 00:48:11,-8.5785,13.6643,75.85,88,69,3.06
203,Aksu,CN,2022-01-24 00:48:11,41.1231,80.2644,22.03,59,94,1.66
204,Rawson,AR,2022-01-24 00:48:12,-43.3002,-65.1023,73.24,32,10,24.52
205,Ustka,PL,2022-01-24 00:48:12,54.5805,16.8619,35.62,97,100,10.38
206,Hovd,MN,2022-01-24 00:48:12,48.0056,91.6419,-5.13,72,1,4.99
207,Kismayo,SO,2022-01-24 00:48:13,-0.3582,42.5454,77.31,81,44,18.5
208,Katherine,AU,2022-01-24 00:45:06,-14.4667,132.2667,82.72,78,75,12.66
209,Jinxiang,CN,2022-01-24 00:48:13,27.4327,120.6062,55.17,87,100,14.05
210,Jaisalmer,IN,2022-01-24 00:48:14,26.9147,70.9181,52.88,34,0,4.63
211,Atar,MR,2022-01-24 00:48:14,20.5169,-13.0499,71.51,18,99,7.49
212,Cherskiy,RU,2022-01-24 00:48:15,68.75,161.3,-29.56,97,100,4.88
213,Khatanga,RU,2022-01-24 00:48:15,71.9667,102.5,-17.61,100,100,4.59
214,Beloha,MG,2022-01-24 00:48:16,-25.1667,45.05,73.15,79,77,20.42
215,Atambua,ID,2022-01-24 00:48:16,-9.1061,124.8925,80.38,74,88,4.7
216,Caravelas,BR,2022-01-24 00:48:16,-17.7125,-39.2481,75.54,84,18,4.34
217,Dombarovskiy,RU,2022-01-24 00:48:17,50.7587,59.5386,-5.13,89,5,7.76
218,Asosa,ET,2022-01-24 00:48:17,10.0667,34.5333,63.45,31,69,4.85
219,Cuxhaven,DE,2022-01-24 00:48:17,53.8718,8.6909,41.29,87,75,6.91
220,Mishelevka,RU,2022-01-24 00:48:18,52.8575,103.1719,4.95,97,100,3.51
221,Prince Rupert,CA,2022-01-24 00:48:18,54.3161,-130.3201,44.69,92,100,3.44
222,Belaya Gora,RU,2022-01-24 00:48:19,68.5333,146.4167,-31.76,100,100,4.54
223,Severo-Kurilsk,RU,2022-01-24 00:48:19,50.6789,156.125,27.0,73,99,10.96
224,Ballina,AU,2022-01-24 00:48:19,-28.8667,153.5667,78.98,77,40,12.66
225,Scarborough,GB,2022-01-24 00:45:41,54.2797,-0.4044,39.83,87,5,1.01
226,Bethel,US,2022-01-24 00:47:59,41.3712,-73.414,32.49,80,100,5.75
227,Ati,TD,2022-01-24 00:49:20,13.2154,18.3353,63.91,11,0,9.82
228,Georgetown,MY,2022-01-24 00:49:16,5.4112,100.3354,80.53,98,20,1.01
229,East London,ZA,2022-01-24 00:49:21,-33.0153,27.9116,70.77,78,0,17.6
230,Natalio,PY,2022-01-24 00:49:21,-26.7167,-55.0833,88.74,43,68,4.56
231,Esil,KZ,2022-01-24 00:49:22,51.9556,66.4042,-7.89,93,62,5.17
232,Talnakh,RU,2022-01-24 00:49:23,69.4865,88.3972,-3.55,98,100,6.2
233,Sakakah,SA,2022-01-24 00:49:24,29.9697,40.2064,40.57,41,0,6.55
234,Amga,RU,2022-01-24 00:49:24,60.8953,131.9608,-14.67,100,99,2.77
235,Santa Maria Del Oro,MX,2022-01-24 00:49:24,25.9333,-105.3667,57.97,42,100,15.55
236,Bonavista,CA,2022-01-24 00:49:25,48.6499,-53.1147,27.12,77,85,16.89
237,Laguna,US,2022-01-24 00:49:25,38.421,-121.4238,64.53,57,0,0.0
238,Bengkulu,ID,2022-01-24 00:49:26,-3.8004,102.2655,78.24,82,88,3.83
239,Coquimbo,CL,2022-01-24 00:49:26,-29.9533,-71.3436,63.86,81,60,5.46
240,Seoul,KR,2022-01-24 00:47:59,37.5683,126.9778,38.59,80,0,3.44
241,Nerchinskiy Zavod,RU,2022-01-24 00:49:27,51.3088,119.61,-8.52,98,100,1.23
242,Gamba,GA,2022-01-24 00:49:27,-2.65,10.0,75.65,90,10,5.46
243,Ixtapa,MX,2022-01-24 00:48:36,20.7,-105.2,76.23,89,99,4.0
244,Hirara,JP,2022-01-24 00:49:28,24.8,125.2833,69.66,94,75,3.44
245,Srednekolymsk,RU,2022-01-24 00:49:28,67.45,153.6833,-25.26,98,100,6.76
246,Bilma,NE,2022-01-24 00:49:29,18.6853,12.9164,56.68,23,100,13.47
247,Sitka,US,2022-01-24 00:49:29,57.0531,-135.33,39.09,93,100,0.0
